trial,condition,band,peak_erd_percent,onset_s
0,right,mu,-0.8644530978953174,
0,right,beta,-0.6873502844722079,
1,left,mu,-0.8435821141709797,
1,left,beta,-0.528599127691371,
2,right,mu,-0.4720182396902466,
2,right,beta,-0.5426036090369384,
3,left,mu,-0.6410755565173719,
3,left,beta,-0.5936899879418734,
4,right,mu,-0.7155678560584661,
4,right,beta,-0.5831172897998247,
5,left,mu,-0.46420983488737116,
5,left,beta,-0.5931028138148261,
6,left,mu,-0.8472316671955129,
6,left,beta,-0.634058082185115,
7,right,mu,-0.6354831359817438,
7,right,beta,-0.4540251152206884,
8,left,mu,-0.5721079864899339,
8,left,beta,-0.5396209056713417,
9,right,mu,-0.5017073932760928,
9,right,beta,-0.44490962293408914,
10,left,mu,-0.01122241877293966,
10,left,beta,-0.564152984847564,
11,right,mu,-0.26955491335964604,
11,right,beta,-0.4848272901114365,
12,right,mu,-0.42889865943649413,
12,right,beta,-0.4235452422701112,
13,left,mu,-0.57369582458115,
13,left,beta,-0.3207410860948806,
14,left,mu,-0.8330940620000358,
14,left,beta,-0.7015521538295291,
15,left,mu,-0.8372339324723838,
15,left,beta,-0.6122283472091844,
16,right,mu,-0.6288171838239404,
16,right,beta,-0.36539862299608905,
17,left,mu,-0.6988222264342866,
17,left,beta,-0.6223204052379255,
18,right,mu,-0.699682792819833,
18,right,beta,-0.5712177603361467,
19,right,mu,-0.7596756481256378,
19,right,beta,-0.641344893785316,
20,left,mu,-0.8737232272931178,
20,left,beta,-0.3993113131412757,
21,left,mu,-0.32469795037430266,
21,left,beta,-0.5185743299158978,
22,right,mu,-0.5022062523422083,
22,right,beta,-0.43904006375537663,
23,right,mu,-0.5357382684969773,
23,right,beta,-0.4155352133020571,
24,left,mu,-0.6066441222164535,
24,left,beta,-0.703442088158706,
25,left,mu,-0.8204601869487549,
25,left,beta,-0.7649516129619842,
26,right,mu,-0.6090110491138457,
26,right,beta,-0.6197215305990104,
27,right,mu,-0.5166060160264864,
27,right,beta,-0.3872347209867226,
28,left,mu,-0.41122920006464964,
28,left,beta,-0.5515977802262869,
29,right,mu,-0.7416616276628251,
29,right,beta,-0.47575003291688955,
30,right,mu,-0.4378057318733985,
30,right,beta,-0.5789957643490863,
31,left,mu,-0.4515384386533523,
31,left,beta,-0.41607643502023595,
32,right,mu,-0.5665216162483008,
32,right,beta,-0.7100757294297783,
33,left,mu,-0.20646529666710067,
33,left,beta,-0.47211630777457847,
34,left,mu,-0.5400749682394771,
34,left,beta,-0.6114496426070761,
35,right,mu,-0.6937905220138632,
35,right,beta,-0.3790988801327972,
36,left,mu,-0.7717304623348532,
36,left,beta,-0.5999061000670551,
37,right,mu,-0.5181792234085622,
37,right,beta,-0.434597097182784,
38,right,mu,-0.6250701438571555,
38,right,beta,-0.7091963729894154,
39,left,mu,-0.692679911475277,
39,left,beta,-0.6847755804625114,
40,left,mu,-0.677910843504141,
40,left,beta,-0.49199492334753403,
41,right,mu,-0.34653020412038593,
41,right,beta,-0.22591796235233386,
42,left,mu,-0.41321020437808276,
42,left,beta,-0.605164591896237,
43,right,mu,0.21033105379962017,
43,right,beta,-0.5340149999671232,
44,left,mu,-0.4421701130990006,
44,left,beta,-0.7553518985258524,
