band,modality,hand,n_trials,n,mean,sd,median,mad,iqr,detection_rate
beta,A,left,28,17,1.034,1.328,0.48,0.468,0.994,60.714
beta,A,right,30,27,0.991,1.229,0.536,0.488,1.233,90.0
beta,V,left,28,24,1.039,0.998,0.873,0.742,1.362,85.714
beta,V,right,28,22,1.183,1.301,0.547,0.547,1.876,78.571
beta,VA,left,28,26,1.587,1.403,1.244,1.081,2.552,92.857
beta,VA,right,28,19,1.068,1.023,0.726,0.47,1.027,67.857
mu,A,left,28,26,0.702,0.734,0.445,0.445,1.24,92.857
mu,A,right,30,30,1.385,1.414,0.817,0.817,2.246,100.0
mu,V,left,28,25,0.806,0.896,0.85,0.574,1.064,89.286
mu,V,right,28,24,1.344,1.15,0.804,0.714,1.838,85.714
mu,VA,left,28,21,0.947,1.049,0.492,0.354,0.826,75.0
mu,VA,right,28,26,0.904,0.923,0.645,0.408,0.93,92.857
