modality,hand,band,n_trials,delta_erd_onset_med,delta_erd_onset_lo,delta_erd_onset_hi,delta_erd_peak_med,delta_erd_peak_lo,delta_erd_peak_hi,delta_erd_amp_med,delta_erd_amp_lo,delta_erd_amp_hi,delta_pmbr_peak_med,delta_pmbr_peak_lo,delta_pmbr_peak_hi,delta_pmbr_amp_med,delta_pmbr_amp_lo,delta_pmbr_amp_hi
A,left,beta,25,0.032,-0.0040000000000000036,0.30000000000000004,0.3739999999999999,-0.18799999999999994,0.9100000000000001,-0.00469970703125,-4.393962860107422,3.696319580078125,-0.005999999999999783,-0.4179999999999997,0.041999999999999815,-11.854393005371094,-39.011924743652344,32.34291076660156
A,left,mu,27,-0.07999999999999999,-0.372,0.0,0.0,-0.742,0.41800000000000004,-0.19673538208007812,-7.412425994873047,2.349903106689453,,,,,,
A,right,beta,30,0.24000000000000002,-0.008000000000000007,0.494,0.20800000000000018,-0.09999999999999987,0.9960000000000002,-2.3869476318359375,-4.5002593994140625,1.6816787719726562,0.07600000000000051,-0.03200000000000003,0.7119999999999997,-16.551666259765625,-36.274550437927246,0.0
A,right,mu,31,-0.048000000000000015,-0.36,0.07200000000000001,0.0,-0.5799999999999998,0.43199999999999994,-0.18660736083984375,-3.7573471069335938,3.4507522583007812,,,,,,
V,left,beta,27,0.076,-0.30800000000000005,0.196,-0.10400000000000009,-0.6,0.41999999999999993,-2.6772613525390625,-7.820793151855469,2.226226806640625,-0.02400000000000002,-0.5120000000000005,0.28800000000000026,-98.64593505859375,-149.90939331054688,34.16725158691406
V,left,mu,26,-0.076,-0.352,0.156,0.02799999999999958,-1.484,1.056,5.7147064208984375,-3.2101821899414062,9.049560546875,,,,,,
V,right,beta,27,-0.12,-0.9840000000000001,0.14400000000000002,0.2779999999999999,-1.214,0.8260000000000001,0.6920089721679688,-6.231895446777344,4.713783264160156,-0.10599999999999987,-0.3919999999999999,0.020000000000000018,-12.44256591796875,-60.64515686035156,56.650909423828125
V,right,mu,26,-0.020000000000000007,-0.4487,0.232,-0.13599999999999968,-0.9160000000000001,1.052,-2.1346054077148438,-5.920341491699219,7.3039703369140625,,,,,,
VA,left,beta,27,0.032,-0.14399999999999996,0.348,-0.42799999999999994,-1.6320000000000001,0.5,1.5510177612304688,-3.7767257690429688,6.558349609375,0.020000000000000462,-0.5279999999999996,0.6920000000000002,-2.46392822265625,-40.119110107421875,24.102867126464844
VA,left,mu,27,0.158,-0.21200000000000002,0.266,-0.348,-1.1800000000000002,0.33199999999999996,3.0310134887695312,-0.1678924560546875,10.589103889465285,,,,,,
VA,right,beta,28,0.064,-0.252,0.436,-0.8799999999999999,-1.9480000000000002,-0.04400000000000004,-0.36389923095703125,-3.9701004028320312,2.0160903930664062,-0.03200000000000003,-0.24400000000000066,0.4119999999999999,51.06364440917969,-44.66405487060547,122.74908447265625
VA,right,mu,28,-0.03200000000000003,-0.296,0.036,0.40400000000000014,-0.7079999999999997,0.8680000000000001,-1.6583099365234375,-5.101470947265625,6.086692810058594,,,,,,
