component,modality,channel,latency_s,amplitude_uV
P1,V,C3,0.084,-0.29036539759594987
N1,V,C3,0.158,-1.2510685412205067
P3b,V,C3,0.3,0.8442324769175584
P1,V,C4,0.112,0.5208926171156419
N1,V,C4,0.126,0.24111391238145163
P3b,V,C4,0.322,2.3953756938235573
P1,V,O1,0.13,0.9455738679258748
N1,V,O1,0.296,-2.284309144887091
P3b,V,O1,0.922,3.874995347346357
P1,V,O2,0.164,0.8985777312979124
N1,V,O2,0.308,-2.536350576351051
P3b,V,O2,0.922,2.6397127425385727
P1,V,T3,0.084,-0.1026231964344381
N1,V,T3,0.154,-0.5510275164850473
P3b,V,T3,0.3,0.6338250163490358
P1,V,T4,0.122,0.5420502841994103
N1,V,T4,0.166,-0.32865280412613784
P3b,V,T4,0.378,1.8003510470509099
P1,V,Fp1,0.09,-0.23828584315968165
N1,V,Fp1,0.154,-0.6995549301167054
P3b,V,Fp1,0.3,0.6754350345416253
P1,V,Fp2,0.082,-0.11231633145832369
N1,V,Fp2,0.158,-0.44330864734229325
P3b,V,Fp2,0.3,0.14674041457059303
P1,A,C3,0.08,-0.20191354295667202
N1,A,C3,0.162,-2.4905291302171237
P3b,A,C3,0.394,0.028724338816669852
P1,A,C4,0.122,0.1293874138218012
N1,A,C4,0.106,-0.35154510933959215
P3b,A,C4,0.464,0.933663645512364
P1,A,O1,0.168,3.115644511064787
N1,A,O1,0.398,0.19174439726949158
P3b,A,O1,0.836,3.0945225888248
P1,A,O2,0.166,3.487324567299954
N1,A,O2,0.394,-0.18752134305255067
P3b,A,O2,1.018,3.52785575711495
P1,A,T3,0.11,-0.02519487700556033
N1,A,T3,0.164,-1.326862411161378
P3b,A,T3,0.45,-0.07400271005359936
P1,A,T4,0.096,1.148461314956424
N1,A,T4,0.14,-0.48403236901259955
P3b,A,T4,0.45,1.1567970826506064
P1,A,Fp1,0.08,-0.09689463829052683
N1,A,Fp1,0.108,-0.8008093965455845
P3b,A,Fp1,0.354,0.288452759713291
P1,A,Fp2,0.08,0.28598233727871136
N1,A,Fp2,0.166,-0.39728709703089116
P3b,A,Fp2,0.346,0.5776220683353376
P1,AV,C3,0.11,2.5536654610262914
N1,AV,C3,0.17,1.226904969593828
P3b,AV,C3,0.3,-1.4941719818706356
P1,AV,C4,0.1,1.6572707702051905
N1,AV,C4,0.17,0.7271580783159107
P3b,AV,C4,0.3,-1.161896912029545
P1,AV,O1,-0.008,3.238832835806127
N1,AV,O1,0.122,-3.4108024821538785
P3b,AV,O1,0.696,3.948299704210273
P1,AV,O2,-0.008,2.5964461294035615
N1,AV,O2,0.124,-3.8018265252959007
P3b,AV,O2,0.644,4.2195666007874495
P1,AV,T3,0.124,-0.16391622173729004
N1,AV,T3,0.106,-1.6719740357807826
P3b,AV,T3,0.506,2.465714402184613
P1,AV,T4,0.112,0.7706008175459296
N1,AV,T4,0.152,-0.001962613665257039
P3b,AV,T4,0.592,1.8030242611537175
P1,AV,Fp1,0.102,2.645750047915597
N1,AV,Fp1,0.16,1.3378990405421654
P3b,AV,Fp1,0.396,-0.6409700293624724
P1,AV,Fp2,0.124,1.1849133333254134
N1,AV,Fp2,0.102,0.6312229103427062
P3b,AV,Fp2,0.3,-0.9086850772913511
